,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1140,PTT,2021-06-24 00:00:00+00:00,40,40.25,39.5,40,"43,225,600",40,40.25,39.5,40,"43,225,600",0,1
1141,PTT,2021-06-25 00:00:00+00:00,39.75,40.5,39.75,40,"41,171,000",39.75,40.5,39.75,40,"41,171,000",0,1
1142,PTT,2021-06-28 00:00:00+00:00,39.75,40,39.5,39.75,"30,819,800",39.75,40,39.5,39.75,"30,819,800",0,1
1143,PTT,2021-06-29 00:00:00+00:00,39.5,40,39.5,39.75,"38,739,300",39.5,40,39.5,39.75,"38,739,300",0,1
1144,PTT,2021-06-30 00:00:00+00:00,39.25,39.75,39.25,39.5,"41,053,800",39.25,39.75,39.25,39.5,"41,053,800",0,1
1145,PTT,2021-01-07 00:00:00+00:00,39,39.5,39,39.25,"57,676,100",39,39.5,39,39.25,"57,676,100",0,1
1146,PTT,2021-02-07 00:00:00+00:00,38.75,39.5,38.5,39.25,"102,326,100",38.75,39.5,38.5,39.25,"102,326,100",0,1
1147,PTT,2021-05-07 00:00:00+00:00,39,39.25,38.5,38.75,"37,405,700",39,39.25,38.5,38.75,"37,405,700",0,1
1148,PTT,2021-06-07 00:00:00+00:00,39,39.5,39,39.25,"20,708,400",39,39.5,39,39.25,"20,708,400",0,1
1149,PTT,2021-07-07 00:00:00+00:00,38.75,39.25,38.75,39,"32,207,000",38.75,39.25,38.75,39,"32,207,000",0,1
1150,PTT,2021-08-07 00:00:00+00:00,37.25,38.75,37,38.5,"127,566,500",37.25,38.75,37,38.5,"127,566,500",0,1
1151,PTT,2021-09-07 00:00:00+00:00,37.25,38,37,37.25,"57,764,800",37.25,38,37,37.25,"57,764,800",0,1
1152,PTT,2021-12-07 00:00:00+00:00,37,37.75,37,37.5,"52,279,800",37,37.75,37,37.5,"52,279,800",0,1
1153,PTT,2021-07-13 00:00:00+00:00,37.75,38,37,37,"44,033,500",37.75,38,37,37,"44,033,500",0.52,1
1154,PTT,2021-07-14 00:00:00+00:00,37.5,38,37.25,37.75,"43,594,900",37.5,38,37.25,37.75,"43,594,900",0,1
1155,PTT,2021-07-15 00:00:00+00:00,37.25,37.75,37,37.75,"80,596,200",37.25,37.75,37,37.75,"80,596,200",0,1
1156,PTT,2021-07-16 00:00:00+00:00,37.5,37.5,37,37.25,"25,437,600",37.5,37.5,37,37.25,"25,437,600",0,1
1157,PTT,2021-07-19 00:00:00+00:00,36.5,37.25,36.5,37,"67,501,000",36.5,37.25,36.5,37,"67,501,000",0,1
1158,PTT,2021-07-20 00:00:00+00:00,35.75,36.5,35.5,36.25,"139,101,700",35.75,36.5,35.5,36.25,"139,101,700",0,1
